Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
December 1, 2016 8:25 PM,Cowboys,-3.0,at Vikings,43.5,-155,+135
December 4, 2016 1:00 PM,at Patriots,-13.0,Rams,44.5,+600,-900
December 4, 2016 1:00 PM,at Saints,-6.5,Lions,53.5,+220,-270
December 4, 2016 1:00 PM,at Falcons,-5.0,Chiefs,50.0,+187,-217
December 4, 2016 1:00 PM,at Ravens,-3.5,Dolphins,41.5,+160,-180
December 4, 2016 1:00 PM,49ers,-1.0,at Bears,44.0,-120,+100
December 4, 2016 1:00 PM,at Bengals,-1.5,Eagles,42.0,+105,-125
December 4, 2016 1:00 PM,at Packers,-6.5,Texans,44.5,+241,-307
December 4, 2016 1:00 PM,Broncos,-3.5,at Jaguars,38.5,-185,+165
December 4, 2016 4:05 PM,at Raiders,-3.0,Bills,48.5,+145,-165
December 4, 2016 4:25 PM,at Steelers,-6.5,Giants,50.0,+230,-300
December 4, 2016 4:25 PM,at Cardinals,-2.5,Redskins,48.5,+115,-135
December 4, 2016 4:25 PM,at Chargers,-3.5,Buccaneers,49.0,+155,-175
December 4, 2016 8:30 PM,at Seahawks,-8.0,Panthers,43.5,+300,-380
December 5, 2016 8:30 PM,at Jets,-1.5,Colts,48.5,+100,-125
